2016-03-19 21:25:11 [db.DBConnect] INFO   - Created connection to database: jdbc:mysql://dbinstance2.ccyozwuyupk6.us-west-2.rds.amazonaws.com:3306/salesystem?connectTimeout=0&socketTimeout=0&autoReconnect=true
2016-08-22 02:20:42 [MainClass.SaleSystem] INFO   - Refresh DB at 0 minute
2016-08-22 02:22:05 [db.DBConnect] INFO   - Created connection to database: jdbc:mysql://localhost:3306/milansalesystem
2016-08-22 02:22:05 [MainClass.SaleSystem] INFO   - Refresh DB at 0 minute
2016-08-22 02:26:13 [db.DBConnect] INFO   - Created connection to database: jdbc:mysql://localhost:3306/milansalesystem
2016-08-22 02:26:14 [MainClass.SaleSystem] INFO   - Refresh DB at 0 minute
2016-08-22 02:31:14 [MainClass.SaleSystem] INFO   - Refresh DB at 5 minute
2016-08-22 02:33:55 [db.DBConnect] INFO   - com.mysql.jdbc.JDBC42PreparedStatement@312f7d6d: INSERT INTO transaction (ProductInfo, Date, Payment, PaymentType, StoreCredit, StaffID, Type, Total, payinfo, GstTax, PstTax) VALUES ('[{"productId":"BK005","totalNum":131.0,"unitPrice":22.0,"piecesPerBox":33,"size":"12*12","sizeNumeric":144.0,"quantity":10.0,"subTotal":220.0,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"BK010","totalNum":231.0,"unitPrice":18.0,"piecesPerBox":33,"size":"12*12","sizeNumeric":144.0,"quantity":10.0,"subTotal":180.0,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"BK017","totalNum":120.0,"unitPrice":30.0,"piecesPerBox":11,"size":"12*12","sizeNumeric":144.0,"quantity":10.0,"subTotal":300.0,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"BM49835R","totalNum":0.0,"unitPrice":6.39,"piecesPerBox":3,"size":"36*18","sizeNumeric":648.0,"quantity":10.0,"subTotal":63.899998,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"8G48X198-CW1086","totalNum":0.0,"unitPrice":2.33,"piecesPerBox":1,"size":"8*2","sizeNumeric":16.0,"quantity":10.0,"subTotal":23.3,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"8G48X198-CW321-DJ","totalNum":0.0,"unitPrice":3.33,"piecesPerBox":1,"size":"8*2","sizeNumeric":16.0,"quantity":10.0,"subTotal":33.3,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"8JX23.20.5X(20-95)-DA08-3S","totalNum":0.0,"unitPrice":34.0,"piecesPerBox":1,"size":"12*12","sizeNumeric":144.0,"quantity":10.0,"subTotal":340.0,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"8LX30X15.30.46.63-LW03-3","totalNum":0.0,"unitPrice":20.0,"piecesPerBox":1,"size":"12*12","sizeNumeric":144.0,"quantity":10.0,"subTotal":200.0,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"8TW75X152-CK","totalNum":0.0,"unitPrice":2.13,"piecesPerBox":1,"size":"6*3","sizeNumeric":18.0,"quantity":10.0,"subTotal":21.300001,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"BK003","totalNum":98.0,"unitPrice":18.0,"piecesPerBox":33,"size":"12*12","sizeNumeric":144.0,"quantity":10.0,"subTotal":180.0,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"BK009","totalNum":231.0,"unitPrice":15.0,"piecesPerBox":33,"size":"12*12","sizeNumeric":144.0,"quantity":10.0,"subTotal":150.0,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"BK012","totalNum":231.0,"unitPrice":26.0,"piecesPerBox":33,"size":"12*12","sizeNumeric":144.0,"quantity":10.0,"subTotal":260.0,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"BK016","totalNum":198.0,"unitPrice":28.0,"piecesPerBox":33,"size":"12*12","sizeNumeric":144.0,"quantity":10.0,"subTotal":280.0,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"BK25-0","totalNum":132.0,"unitPrice":24.0,"piecesPerBox":33,"size":"12*12","sizeNumeric":144.0,"quantity":10.0,"subTotal":240.0,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"BM36837R","totalNum":0.0,"unitPrice":0.0,"piecesPerBox":8,"size":"24*12","sizeNumeric":288.0,"quantity":10.0,"subTotal":0.0,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"BM36837R_12*24","totalNum":0.0,"unitPrice":0.0,"piecesPerBox":8,"size":"24*12","sizeNumeric":288.0,"quantity":10.0,"subTotal":0.0,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"BM49836R","totalNum":0.0,"unitPrice":6.39,"piecesPerBox":3,"size":"36*18","sizeNumeric":648.0,"quantity":10.0,"subTotal":63.899998,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"BM49837R","totalNum":0.0,"unitPrice":6.39,"piecesPerBox":3,"size":"36*18","sizeNumeric":648.0,"quantity":10.0,"subTotal":63.899998,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"BM60526B","totalNum":0.0,"unitPrice":0.0,"piecesPerBox":4,"size":"24*24","sizeNumeric":576.0,"quantity":10.0,"subTotal":0.0,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"BM60527B","totalNum":0.0,"unitPrice":0.0,"piecesPerBox":4,"size":"24*24","sizeNumeric":576.0,"quantity":10.0,"subTotal":0.0,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"BM60832R","totalNum":0.0,"unitPrice":0.0,"piecesPerBox":4,"size":"24*24","sizeNumeric":576.0,"quantity":10.0,"subTotal":0.0,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"BM60833R","totalNum":0.0,"unitPrice":0.0,"piecesPerBox":4,"size":"24*24","sizeNumeric":576.0,"quantity":10.0,"subTotal":0.0,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"BM60835B","totalNum":0.0,"unitPrice":0.0,"piecesPerBox":4,"size":"24*24","sizeNumeric":576.0,"quantity":10.0,"subTotal":0.0,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"BM60835M","totalNum":0.0,"unitPrice":0.0,"piecesPerBox":4,"size":"24*24","sizeNumeric":576.0,"quantity":10.0,"subTotal":0.0,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"BM60837B","totalNum":0.0,"unitPrice":0.0,"piecesPerBox":4,"size":"24*24","sizeNumeric":576.0,"quantity":10.0,"subTotal":0.0,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"BM60837M","totalNum":0.0,"unitPrice":0.0,"piecesPerBox":4,"size":"24*24","sizeNumeric":576.0,"quantity":10.0,"subTotal":0.0,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}},{"productId":"BM60837R","totalNum":0.0,"unitPrice":0.0,"piecesPerBox":4,"size":"24*24","sizeNumeric":576.0,"quantity":10.0,"subTotal":0.0,"discount":0,"remark":"","boxNum":{"box":0,"residualTile":0}}]', '2016-08-22', 2933.95, 'Cash', 0.0, 3, '{"type":"OUT","info":"IFung161253"}', 2933.95, '[{"date":"2016-08-22","paid":2933.95,"paymentType":"Cash"}]', 183.37, 130.98)
2016-08-22 02:33:55 [db.DBConnect] INFO   - com.mysql.jdbc.JDBC42PreparedStatement@2434a1dc: UPDATE product SET TotalNum = 121.0 WHERE ProductId = 'BK005'
2016-08-22 02:33:55 [db.DBConnect] INFO   - com.mysql.jdbc.JDBC42PreparedStatement@69a9931c: UPDATE product SET TotalNum = 221.0 WHERE ProductId = 'BK010'
2016-08-22 02:33:55 [db.DBConnect] INFO   - com.mysql.jdbc.JDBC42PreparedStatement@23274f51: UPDATE product SET TotalNum = 110.0 WHERE ProductId = 'BK017'
2016-08-22 02:33:55 [db.DBConnect] INFO   - com.mysql.jdbc.JDBC42PreparedStatement@2317af7d: UPDATE product SET TotalNum = -10.0 WHERE ProductId = 'BM49835R'
2016-08-22 02:33:55 [db.DBConnect] INFO   - com.mysql.jdbc.JDBC42PreparedStatement@222cc082: UPDATE product SET TotalNum = -10.0 WHERE ProductId = '8G48X198-CW1086'
2016-08-22 02:33:55 [db.DBConnect] INFO   - com.mysql.jdbc.JDBC42PreparedStatement@73896a8: UPDATE product SET TotalNum = -10.0 WHERE ProductId = '8G48X198-CW321-DJ'
2016-08-22 02:33:55 [db.DBConnect] INFO   - com.mysql.jdbc.JDBC42PreparedStatement@1e7c1cd9: UPDATE product SET TotalNum = -10.0 WHERE ProductId = '8JX23.20.5X(20-95)-DA08-3S'
2016-08-22 02:33:55 [db.DBConnect] INFO   - com.mysql.jdbc.JDBC42PreparedStatement@e242c: UPDATE product SET TotalNum = -10.0 WHERE ProductId = '8LX30X15.30.46.63-LW03-3'
2016-08-22 02:33:55 [db.DBConnect] INFO   - com.mysql.jdbc.JDBC42PreparedStatement@44e2cc7f: UPDATE product SET TotalNum = -10.0 WHERE ProductId = '8TW75X152-CK'
2016-08-22 02:33:55 [db.DBConnect] INFO   - com.mysql.jdbc.JDBC42PreparedStatement@72c9f9d: UPDATE product SET TotalNum = 88.0 WHERE ProductId = 'BK003'
2016-08-22 02:33:55 [db.DBConnect] INFO   - com.mysql.jdbc.JDBC42PreparedStatement@79c8d175: UPDATE product SET TotalNum = 221.0 WHERE ProductId = 'BK009'
2016-08-22 02:33:55 [db.DBConnect] INFO   - com.mysql.jdbc.JDBC42PreparedStatement@816b524: UPDATE product SET TotalNum = 221.0 WHERE ProductId = 'BK012'
2016-08-22 02:33:55 [db.DBConnect] INFO   - com.mysql.jdbc.JDBC42PreparedStatement@3976addf: UPDATE product SET TotalNum = 188.0 WHERE ProductId = 'BK016'
